key,author,categoryid,order,imgname,pageurl,title
1,Hosting Review,1,11,i0111,http://www.hostingreviewbox.com/wp-content/uploads/2016/02/html5-cheat-sheet.pdf,Cheat Sheet HTML 5
2,HTML Doctor,1,2,i0102,http://html5doctor.com/element-index/,Element Index
3,Quackit,1,3,i0103,http://www.quackit.com/html_5/tags/,HTML 5 Tags
4,Mozilla,1,7,i0107,https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes,HTML Attribute Reference
5,Mozilla,1,6,i0106,https://developer.mozilla.org/en-US/docs/Web/HTML/Element,HTML Reference
6,HTML Dog,1,1,i0101,http://htmldog.com/references/html/tags/,HTML Tags
7,Website Setup,1,10,i0110,http://websitesetup.org/html5-cheat-sheet/,HTML5 Cheat Sheet
8,Tutorials Point,1,4,i0104,http://www.tutorialspoint.com/html5/html5_tags.htm,HTML5 Tags Reference
9,Tutorial Republic,1,8,i0108,http://www.tutorialrepublic.com/html-reference/html5-tags.php,HTML5 Tags/Elements
10,Pakzilla,1,9,i0109,http://www.pakzilla.com/2011/02/27/an-ultimate-html5-cheatsheet-you-must-have/,Ultimate Must-Have Cheat Sheet
11,W3Schools,1,5,i0105,http://www.w3schools.com/TAGS/default.asp,W3Schools Tag Reference
12,Sabinanore,2,2,i0202,http://www.sabinanore.com/design/html-special-symbols/,HTML Character Entity Reference
13,Quackit,2,4,i0204,http://www.quackit.com/html/html_special_characters.cfm,HTML Special Character Reference
14,Digital Media Minute,2,1,i0201,http://www.digitalmediaminute.com/reference/entity/index.php,HTML Special Characters
15,Neal Chester,2,3,i0203,http://nealchester.com/special-characters/,HTML Special Symbols
16,Tutorials Point,2,5,i0205,http://www.tutorialspoint.com/html5/html5_entities.htm,Special Characters for HTML
17,HTML Dob,3,1,i0301,http://htmldog.com/reference/cssproperties/,CSS Properties
18,Meiert Web,3,5,i0305,http://meiert.com/en/indices/css-properties/,CSS Properties Index
19,Leslie Franke,3,9,i0309,http://lesliefranke.com/files/reference/csscheatsheet.html,CSS Reference
20,W3 Schools,3,3,i0303,http://www.w3schools.com/cssref/default.asp,CSS Reference
21,Mozilla,3,8,i0308,https://developer.mozilla.org/en-US/docs/Web/CSS/Reference,CSS3 Cheat Sheet
22,GoSquared,3,4,i0304,http://downloads.gosquared.com/help_sheets/10/CSS3 Help Sheet outlined.pdf,CSS3 Help Sheet
23,Quackit,3,2,i0302,http://www.quackit.com/css/properties,Index of CSS properties
24,Tutorial Republic,3,7,i0307,http://www.tutorialrepublic.com/css-reference/css3-properties.php,List of CSS3 Properties
25,Max Design,3,10,i0310,http://css.maxdesign.com.au/selectutorial/,Selectutorial
26,Make a Website,3,6,i0306,http://makeawebsitehub.com/css3-mega-cheat-sheet/,The Mega CSS3 Cheat Sheet
27,Adobe,4,1,i0401,https://color.adobe.com/create/color-wheel/,Adobe Color CC
28,Label Partners,4,10,i0410,http://us.labelpartners.com/pantone_coated_table.html,All Pantone C Colors
29,Rapid Tables,4,11,i0411,http://www.rapidtables.com/convert/color/,Color Converter
30,Jay Prall,4,13,i0413,http://colorcop.net/,Color Cop
31,Loomatix,4,12,i0412,https://play.google.com/store/apps/details?id=com.loomatix.colorgrab,Color Grab
32,Daily Infographic,4,15,i0415,http://www.dailyinfographic.com/color-psychology-in-logo-design,Color Psychology
33,Robert Plutchik,4,3,i0403,http://info.shiftelearning.com/blog/using-plutchiks-emotion-wheel-elearning,Color Wheel of Emotions
34,Rapid Tables,4,6,i0406,http://www.rapidtables.com/web/color/color-wheel.htm,Color Wheel Tool
35,CSS Drive,4,2,i0402,http://www.cssdrive.com/imagepalette/index.php,Colors from Pictures
36,Various Artists,4,9,i0409,https://creativemarket.com/blog/10-brilliant-color-psychology-infographics,Creative Market
37,ImageColorPicker,4,7,i0407,http://imagecolorpicker.com/,Image Color Picker
38,Alan Simpson,4,4,i0404,https://www.pinterest.com/explore/color-palettes/,My Own Collection
39,Paletton,4,5,i0405,http://paletton.com/,Patetton.com
40,Imgur,4,14,i0414,http://imgur.com/gallery/cBBcTyd,Psychology of Color
41,Coolors,4,16,i0416,https://www.coolors.co/,Scheme Generator
42,Colour Lovers,4,18,i0418,http://www.colourlovers.com/,Share your Colors
43,Apple,4,8,i0408,https://sipofcolor.com/,Sip of Color
44,Colors on the Web,4,17,i0417,http://www.colorsontheweb.com/colorwheel.asp,Spin the Color Wheel
45,,5,1,i0501,http://www.1millionfreepictures.com/,1 million free pictures
46,,5,2,i0502,http://web.archive.org/web/20140619023133/http://1photos.com/,1Photos.com
47,,5,3,i0503,https://www.flickr.com/photos/library_of_congress/,"26,000+ Historic Photos"
48,,5,4,i0504,http://www.public-domain-photos.com/,5000 Free Stock Photos
49,,5,53,i0553,http://photolibrary.usap.gov/,Antarctica Photo Library
50,,5,58,i0558,http://www.archives.gov/research/alic/reference/photography.html,Archives.gov
51,,5,5,i0505,http://duion.com/art/main,Art section
52,,5,70,i0570,https://avopix.com/,Avo Pix
53,,5,71,i0571,https://www.flickr.com/photos/britishlibrary/albums,British Library
54,,5,72,i0572,http://www.burningwell.org/,Burning Well
55,,5,68,i0568,http://cc0.photo/,CC0 Photo
56,,5,65,i0565,http://www.census.gov/library/photos.html,Census Bureau Photos
57,,5,15,i0515,http://crazy-frankenstein.com/,Crazy Frankenstein
58,,5,47,i0547,http://pdi.davalign.com/,Davalign
59,,5,8,i0508,http://deathtothestockphoto.com/,Death to the Stock Photo
60,,5,26,i0526,http://www.drstockphoto.com/,Dr. Stock Photo
61,,5,69,i0569,http://dreamypixel.com/gallery-of-free-photograhs-images/,Dreamy Pixel
62,,5,34,i0534,https://www.flickr.com/photos/alansimpsonme/33859960320/in/album-72157682908182376/,Education Theme Photos
63,,5,77,i0577,https://www.flickr.com/photos/alansimpsonme/albums/72157681034644390,Emotion / Character Photos
64,,5,64,i0564,http://www.everystockphoto.com/,Everystockphoto
65,,5,50,i0550,https://www.flickr.com/photos/alansimpsonme/albums/72157682755082126,Food and Drink Photos
66,,5,99,i0599,https://foodiesfeed.com/,Foodies Feed
67,,5,80,i0580,http://www.freeforcommercialuse.net/,Free for Commercial Use
68,,5,74,i0574,http://en.freejpg.com.ar/,Free Images
69,,5,7,i0507,http://www.4freephotos.com/,Free Stock photos
70,,5,9,i0509,http://www.alegriphotos.com/,Free Stock Photos
71,,5,37,i0537,http://www.freestockphotos.biz/,Free Stock Photos
72,,5,30,i0530,http://viintage.com/,Free Vintage Images
73,,5,86,i0586,http://freestocks.org/,Freestocks
74,,5,89,i0589,https://www.flickr.com/photos/alansimpsonme/34971942641/in/album-72157681733133242/,Future Tech Theme
75,,5,85,i0585,http://getrefe.tumblr.com/,Getrefe
76,,5,38,i0538,http://gratisography.com/,Gratisography
77,,5,56,i0556,http://www.nlm.nih.gov/hmd/index.html,History of Medicine
78,,5,11,i0511,http://hubblesite.org/gallery/,HubbleSite Gallery
79,,5,6,i0506,http://www.imcreator.com/free,IM Free
80,,5,25,i0525,https://www.flickr.com/photos/alansimpsonme/albums/72157685697209823,Inspirational Images
81,,5,16,i0516,http://digitallibrary.usc.edu/cdm/landingpage/collection/p15799coll123,International Mission Archive
82,,5,88,i0588,http://jaymantri.com/,Jay Mantri
83,,5,94,i0594,http://kaboompics.com/,Kaboompics
84,,5,24,i0524,http://libreshot.com/,Libreshot
85,,5,28,i0528,http://www.lifeofpix.com/,Life of Pix
86,,5,10,i0510,http://images.google.com/hosted/life,LIFE Photo Archive
87,,5,83,i0583,http://littlevisuals.co/,Little Visuals
88,,5,48,i0548,http://www.marblepics.com/,Marble Pics
89,,5,93,i0593,http://mmtstock.com/,MMT Stock
90,,5,43,i0543,http://www.mypublicdomainpictures.com/,My Public Domain Pictures
91,,5,21,i0521,https://www.nasa.gov/multimedia/imagegallery/index.html,NASA Images
92,,5,52,i0552,http://digitalmedia.fws.gov/,National Digital Library
93,,5,67,i0567,http://www.history.navy.mil/our-collections/photography.html,Naval Photography
94,,5,54,i0554,http://visualsonline.cancer.gov/,NCI Visuals Online
95,,5,82,i0582,http://negativespace.co/,Negative Space
96,,5,49,i0549,http://nos.twnsnd.co/,New Old Stock
97,,5,59,i0559,https://www.nypl.org/research/collections/digital-collections/public-domain,New York Public Library
98,,5,63,i0563,http://www.freenzphotos.com/,New Zealand Free Photos
99,,5,57,i0557,http://www.photolib.noaa.gov/,NOAA Photo Library
100,,5,19,i0519,http://www.photolib.noaa.gov/,NOAA Photo Library
101,,5,95,i0595,http://epicantus.tumblr.com/,Original Photography by Daria
102,,5,27,i0527,http://pdphoto.org/,PDPhoto.org
103,,5,79,i0579,https://www.pexels.com/,Pexels
104,,5,29,i0529,http://www.photos-public-domain.com/,Photos Public Domain
105,,5,84,i0584,https://picjumbo.com/,Pic Jumbo
106,,5,32,i0532,http://www.picdrome.com/,Picdrome Copyright-Free Pictures
107,,5,39,i0539,http://pickupimage.com/,Pickup Image
108,,5,92,i0592,http://picography.co/,Picography
109,,5,22,i0522,http://pics.tech4learning.com/index.php,Pics For Learning
110,,5,62,i0562,http://www.playadelcarmenmexico.org/,Playa Del Carmen
111,,5,33,i0533,http://www.publicdomainfiles.com/,Public Domain Files
112,,5,31,i0531,http://pdpics.com/,Public Domain Pics
113,,5,36,i0536,http://www.publicdomainpictures.net/,Public Domain Pictures
114,,5,20,i0520,http://phil.cdc.gov/phil/home.asp,Public Health Image Library
115,,5,42,i0542,http://skitterphoto.com/,Skitter Photo
116,,5,17,i0517,https://www.flickr.com/photos/smithsonian/,Smithsonian Institution
117,,5,87,i0587,http://snapwiresnaps.tumblr.com/,Snapwire Snaps
118,,5,12,i0512,https://www.splitshire.com/,Splitshire Free Stock Photos
119,,5,13,i0513,https://www.flickr.com/groups/stock/,Stock Repository
120,,5,81,i0581,https://stocksnap.io/,StockSnap.io
121,,5,18,i0518,http://www.stockvault.net/,StockVault
122,,5,75,i0575,https://www.flickr.com/photos/alansimpsonme/albums/72157680236153332,Tech Lifestyle Photos
123,,5,23,i0523,https://www.flickr.com/photos/britishlibrary,The British Library
124,,5,35,i0535,http://publicdomainreview.org/,The Public Domain Review
125,,5,41,i0541,http://www.topersphotos.com/,Topers Photos
126,,5,66,i0566,http://www.defense.gov/Media/Photo-Gallery?igcategory=Lead Photos,U.S. DOD Photo Gallery
127,,5,14,i0514,https://unsplash.com/,Unsplash
128,,5,55,i0555,https://www.ars.usda.gov/oc/images/image-gallery/,USDA Images
129,,5,61,i0561,http://ian.macky.net/pat/map/world.html,World Maps
130,,6,29,i0629,http://www.free-graphics.com/,All Free Original Clip Art
131,,6,31,i0631,http://antiqueclipart.com/,Antique Clipart
132,,6,13,i0613,http://www.artfilleddays.com/,Art Filled Days
133,,6,24,i0624,http://www.arthursclipart.org/,Arthur's Clipart
134,,6,3,i0603,http://www.clipartpal.com/_pd.html,Clipart Pal
135,,6,9,i0609,http://www.clipartpanda.com/,Clipart Panda
136,,6,32,i0632,http://www.clipartbest.com/,ClipArtBest
137,,6,33,i0633,http://www.clipartlord.com/,ClipArtLord
138,,6,5,i0605,http://www.clker.com/,Clker
139,,6,30,i0630,http://edupic.net/,EduPic for Educators
140,,6,21,i0621,http://www.thefamousartists.com/,Famous Artists
141,,6,16,i0616,http://www.ibiblio.org/wm/paint/,Famous Artworks exhibition
142,,6,11,i0611,http://animalsclipart.com/,Free Animals Clipart
143,,6,8,i0608,http://www.phillipmartin.info/clipart/homepage.htm,Free Kids Clip Art
144,,6,35,i0635,http://retrographix.com/,Free Retro Clip Art
145,,6,28,i0628,http://www.vecteezy.com/,Free Vector Art
146,,6,20,i0620,http://www.freevintageart.com/,Free Vintage Art
147,,6,25,i0625,http://www.fromoldbooks.org/,From Old Books
148,,6,18,i0618,http://www.getty.edu/art/collection/,Getty Museum
149,,6,26,i0626,http://www.historyplace.com/,History Place
150,,6,6,i0606,http://srufaculty.sru.edu/david.dailey/public/public_domain.htm,Images in the Public Domain
151,,6,7,i0607,http://www.eirefirst.com/clipart.html,Ireland First
152,,6,27,i0627,http://www.mycutegraphics.com/,My Cute Graphics
153,,6,10,i0610,http://www.oldbookillustrations.com/,Old Book Illustrations
154,,6,2,i0602,http://www.openclipart.org/,Open Clipart
155,,6,4,i0604,http://publicdomainclip-art.blogspot.com/,Public Domain Clip Art
156,,6,17,i0617,http://www.pdclipart.org/,Public Domain Clip Art
157,,6,34,i0634,http://www.publicdomainvectors.org/,Public Domain Vectors
158,,6,22,i0622,http://www.reusableart.com/,Reusable Art
159,,6,15,i0615,http://snappygoat.com/,Snappy Goat
160,,6,14,i0614,http://ushistoryimages.com/,U.S. History Images
161,,6,23,i0623,https://images.northwestern.edu/catalog?f[institutional_collection_title_facet][]=World+War+II+Poster+Collection+at+Northwestern+University+Library,World War II Posters
162,,6,1,i0601,http://www.wpclipart.com/,WP Clipart
163,,6,12,i0612,http://public-domain.zorger.com/,Zorger
164,,7,10,i0710,http://elemisfreebies.com/10/27/16-abstract-patterns-3/,16 Abstract Patterns
165,,7,7,i0707,http://designwoop.com/2012/03/20-free-subtle-textures-for-backgrounds/,20 Free Subtle Textures
166,,7,13,i0713,http://muzikizumweb.deviantart.com/art/6-Tileable-Checkered-Textures-199675697,6 Tileable Checkered Textures
167,,7,2,i0702,http://www.allfreebackgrounds.com/,All Free Backgrounds
168,,7,6,i0706,http://www.grsites.com/archive/textures/,Background Textures and Images
169,,7,17,i0717,http://www.stripegenerator.com/,Diagonal Stripes Background
170,,7,14,i0714,http://pattern8.com/,Download Free Repeat Patterns
171,,7,5,i0705,http://bgrepeat.com/,Free Repeating Backgrounds
172,,7,15,i0715,http://www.patterncooler.com/,Free Seamless  Pattern Backgrounds
173,,7,8,i0708,http://www.dinpattern.com/,Free Seamless Patterns
174,Dave Child,8,1,i0801,https://www.cheatography.com/davechild/cheat-sheets/javascript/,JavaScript Cheat Sheet
175,HTML Cheat Sheets,8,2,i0802,http://htmlcheatsheet.com/js/,JS Cheat Sheet
